Country,Total_Deaths
France,0
France,0
France,0
France,0
France,0
France,0
France,0
France,0
France,0
France,0
France,0
France,0
France,0
France,0
France,0
France,0
France,0
France,0
France,0
France,0
France,0
France,0
France,0
France,0
France,1
France,1
France,1
France,1
France,1
France,1
France,1
France,1
France,1
France,1
France,1
France,2
France,2
France,2
France,2
France,2
France,3
France,4
France,4
France,6
France,9
France,11
France,19
France,19
France,33
France,48
France,48
France,79
France,91
France,91
France,149
France,149
France,149
France,244
France,451
France,563
France,676
France,862
France,1102
France,1333
France,1698
France,1997
France,2317
France,2611
France,3030
France,3532
France,4414
France,5398
France,6520
France,7574
France,8093
France,8926
France,10343
France,10887
France,12228
France,13215
France,13851
France,14412
France,14986
France,15731
France,17169
France,17922
France,18683
France,19325
France,19720
France,20267
France,20798
France,21342
France,21858
France,22248
France,22617
France,22859
France,23296
France,23663
France,24090
France,24379
France,24597
France,24763
France,24900
France,25204
France,25537
France,25812
France,25990
France,26233
France,26313
France,26383
France,26646
France,26994
France,27077
France,27428
France,27532
France,27532
France,28111
France,28242
France,28025
France,28135
France,28218
France,28292
France,28335
France,28370
France,28460
France,28533
France,28599
France,28665
France,28717
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,0
Germany,2
Germany,2
Germany,3
Germany,3
Germany,7
Germany,9
Germany,11
Germany,17
Germany,24
Germany,28
Germany,44
Germany,67
Germany,84
Germany,94
Germany,123
Germany,157
Germany,206
Germany,267
Germany,342
Germany,433
Germany,533
Germany,645
Germany,775
Germany,920
Germany,1107
Germany,1275
Germany,1444
Germany,1584
Germany,1810
Germany,2016
Germany,2349
Germany,2607
Germany,2767
Germany,2736
Germany,3022
Germany,3194
Germany,3294
Germany,3804
Germany,4052
Germany,4352
Germany,4459
Germany,4586
Germany,4862
Germany,5033
Germany,5279
Germany,5575
Germany,5760
Germany,5877
Germany,5976
Germany,6126
Germany,6314
Germany,6467
Germany,6623
Germany,6736
Germany,6812
Germany,6866
Germany,6993
Germany,6993
Germany,7275
Germany,7392
Germany,7510
Germany,7549
Germany,7569
Germany,7661
Germany,7738
Germany,7861
Germany,7884
Germany,7897
Germany,7938
Germany,7962
Germany,8003
Germany,8081
Germany,8144
Germany,8203
Germany,8228
Germany,8261
Germany,8283
Germany,8309
Germany,8372
Germany,8428
Germany,8470
Germany,8504
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,0
Italy,1
Italy,2
Italy,3
Italy,7
Italy,10
Italy,12
Italy,17
Italy,21
Italy,29
Italy,34
Italy,52
Italy,79
Italy,107
Italy,148
Italy,197
Italy,233
Italy,366
Italy,463
Italy,631
Italy,827
Italy,1016
Italy,1266
Italy,1441
Italy,1809
Italy,2158
Italy,2503
Italy,2978
Italy,3405
Italy,4032
Italy,4825
Italy,5476
Italy,6077
Italy,6820
Italy,7503
Italy,8215
Italy,9134
Italy,10023
Italy,10779
Italy,11591
Italy,12428
Italy,13155
Italy,13915
Italy,14681
Italy,15362
Italy,15887
Italy,16523
Italy,17127
Italy,17669
Italy,18279
Italy,18849
Italy,19468
Italy,19899
Italy,20465
Italy,21067
Italy,21645
Italy,22170
Italy,22745
Italy,23227
Italy,23660
Italy,24114
Italy,24648
Italy,25085
Italy,25549
Italy,25969
Italy,26384
Italy,26644
Italy,26977
Italy,27359
Italy,27682
Italy,27967
Italy,28236
Italy,28710
Italy,28884
Italy,29079
Italy,29315
Italy,29684
Italy,29958
Italy,30201
Italy,30395
Italy,30560
Italy,30739
Italy,30911
Italy,31106
Italy,31368
Italy,31610
Italy,31763
Italy,31908
Italy,32007
Italy,32169
Italy,32330
Italy,32486
Italy,32616
Italy,32735
Italy,32785
Italy,32877
Italy,32955
Italy,33072
Italy,33142
Italy,33229
